Vg_Vl,InvGC
49.61546679,1.84008E-08
49.34199343,1.83567E-08
49.11279411,1.88432E-08
49.18435153,1.69344E-08
49.01520347,1.58019E-08
48.76299047,1.709E-08
48.8248755,1.70127E-08
48.91301718,1.82816E-08
49.25989624,1.88902E-08
49.32049597,1.87346E-08
27.75436276,9.59176E-09
27.57063929,9.33542E-09
27.49383322,8.98726E-09
27.65851625,9.05817E-09
27.54580482,1.00347E-08
27.69751804,1.02055E-08
27.83216673,9.35871E-09
27.73044409,1.01569E-08
27.6204381,1.0386E-08
27.63885037,1.00622E-08
19.02798301,7.76894E-09
19.17787011,7.51933E-09
19.14013778,7.59108E-09
19.06429103,7.099E-09
19.02177769,8.03541E-09
19.27815794,7.69571E-09
18.78468731,7.76045E-09
19.28698828,8.13829E-09
19.04281128,7.8619E-09
19.0872267,7.54757E-09
17.21359747,7.50916E-09
16.83782363,6.86288E-09
17.4701956,7.4025E-09
17.03941453,7.08449E-09
16.8305202,7.25847E-09
17.20730693,7.02784E-09
17.16158315,8.28296E-09
17.03860234,9.07196E-09
16.7729381,7.34296E-09
16.88304717,7.46891E-09
14.41585053,6.96535E-09
14.24863514,6.5632E-09
14.40470728,6.63125E-09
14.29508868,6.64928E-09
14.19554391,6.38765E-09
14.23495102,7.27944E-09
14.43782854,6.98863E-09
14.31930032,7.42945E-09
14.33395803,6.71655E-09
14.34488157,7.01765E-09
12.33212837,6.89824E-09
12.21960277,6.32504E-09
12.1690252,6.23751E-09
12.26846081,6.52684E-09
12.30945257,6.48911E-09
12.4367551,6.47183E-09
12.42855861,7.13334E-09
12.383969,6.52471E-09
12.25941505,6.5611E-09
12.27171327,6.84531E-09
10.12847446,6.56625E-09
10.06400022,5.91106E-09
10.17266561,6.1724E-09
10.13992306,6.04641E-09
10.10546301,5.91594E-09
10.10872693,5.67861E-09
10.1787756,6.60817E-09
10.12563143,5.05234E-09
10.13565029,5.99516E-09
10.13286546,5.98742E-09
7.680308449,5.13596E-09
7.704598739,5.32673E-09
7.724045485,5.47335E-09
7.660232255,5.70167E-09
7.718502094,5.57847E-09
7.644611062,5.51747E-09
7.650509094,5.60971E-09
7.656677029,5.36509E-09
7.702329927,5.63622E-09
7.69402106,5.67262E-09
4.74065493,4.89502E-09
4.693632211,5.11433E-09
4.709274861,5.13802E-09
4.682907368,4.3789E-09
4.74040818,4.68851E-09
4.715497308,4.83429E-09
4.658987515,4.60422E-09
4.670681426,4.70469E-09
4.678187706,5.28108E-09
4.713215256,4.90921E-09
3.02661877,4.23078E-09
2.994327202,3.72305E-09
3.021348623,4.73983E-09
3.00193967,4.35765E-09
3.017090872,4.23381E-09
3.016043945,4.71146E-09
3.008401838,4.73289E-09
3.002739303,5.18275E-09
2.997028942,4.68259E-09
3.004891903,4.42284E-09
1.849022661,4.06979E-09
1.855439022,4.47001E-09
1.851256988,3.74908E-09
1.868137075,4.31283E-09
1.879780665,4.1846E-09
1.878712987,4.13211E-09
1.864147093,4.13242E-09
1.883913993,3.94884E-09
1.874825559,4.01712E-09
1.867886606,3.99354E-09
0.997267143,4.58508E-09
0.999260424,4.48811E-09
0.995277833,3.69661E-09
1.001257687,3.70393E-09
1.001257687,4.13039E-09
1.001257687,4.33301E-09
0.997267143,3.6342E-09
0.993292482,4.11378E-09
1.001257687,4.29239E-09
0.987360064,4.29967E-09
0.568674837,4.1496E-09
0.558173046,3.8893E-09
0.549350405,4.35977E-09
0.573021762,3.64103E-09
0.557958556,3.40673E-09
0.555350626,4.24372E-09
0.550960182,3.94029E-09
0.546216038,4.4964E-09
0.560631171,4.11292E-09
0.54915391,3.9658E-09
0.335505963,4.34565E-09
0.339076835,4.3666E-09
0.331069066,4.04769E-09
0.339076835,4.24478E-09
0.337289015,4.34595E-09
0.333727659,4.02811E-09
0.324133422,4.26678E-09
0.335242475,4.38886E-09
0.346239078,4.54017E-09
0.348315863,4.10985E-09
